2026-07-03 02:19:08	cid=1	cas=14992-62-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=14992-62-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:28	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=1&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:28	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=2&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:32	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=3&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:32	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=4&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:33	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=5&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:33	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=6&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:33	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=7&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:37	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=8&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:38	cid=6	cas=97-00-7	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C97007&Index=9&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:38	cid=6	cas=97-00-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=97-00-7&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404
2026-07-03 02:19:38	cid=7	cas=2715-68-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2715-68-6&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:19:39	cid=8	cas=562-43-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=562-43-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:40	cid=9	cas=13004-72-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=13004-72-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:41	cid=12	cas=634-94-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=634-94-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:19:42	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:42	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:42	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:43	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:43	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:47	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:47	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:19:48	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=1&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:48	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=2&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:48	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=3&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:52	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=4&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:53	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=5&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:53	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=6&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:53	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=7&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:54	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=8&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:58	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=9&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:19:58	cid=13	cas=120-82-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=120-82-1&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404
2026-07-03 02:19:58	cid=14	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:19:58	cid=15	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:19:59	cid=16	cas=56403-09-9	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=56403-09-9&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:19:59	cid=17	cas=16052-12-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16052-12-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:00	cid=18	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:01	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:01	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:01	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:02	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:06	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:06	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:06	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:07	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:07	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:07	cid=19	cas=303-38-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=303-38-8&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:20:08	cid=20	cas=3714-73-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3714-73-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:08	cid=21	cas=3142-65-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3142-65-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:09	cid=22	cas=918-44-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=918-44-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:10	cid=23	cas=16597-58-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16597-58-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:11	cid=24	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:20:11	cid=26	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:20:11	cid=28	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:11	cid=29	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:12	cid=30	cas=150994-59-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=150994-59-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:12	cid=31	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:12	cid=32	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:13	cid=33	cas=107-20-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=107-20-0&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:15	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:15	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:16	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:16	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:16	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:21	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:21	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:21	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:22	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:22	cid=34	cas=107-07-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=107-07-3&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:20:22	cid=35	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:23	cid=36	cas=16048-89-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16048-89-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:24	cid=37	cas=158647-63-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=158647-63-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:25	cid=38	cas=470-30-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=470-30-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:26	cid=39	cas=13031-04-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=13031-04-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:26	cid=40	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:27	cid=41	cas=629647-81-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=629647-81-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:28	cid=42	cas=6670-61-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=6670-61-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:28	cid=43	cas=2889-31-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2889-31-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:29	cid=44	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:30	cid=45	cas=80-69-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=80-69-3&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:30	cid=46	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:31	cid=47	cas=1460-34-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=1460-34-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:31	cid=48	cas=18465-19-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=18465-19-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:32	cid=49	cas=759-05-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=759-05-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:33	cid=50	cas=73803-83-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=73803-83-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:34	cid=51	cas=328-50-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=328-50-7&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:34	cid=55	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:20:34	cid=56	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:20:35	cid=57	cas=42187-47-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=42187-47-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:36	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:37	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:37	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:37	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:38	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:42	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:42	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:43	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:43	cid=58	cas=600-18-0	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C600180&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:43	cid=58	cas=600-18-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=600-18-0&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:20:44	cid=59	cas=2553-59-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2553-59-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:44	cid=60	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:45	cid=61	cas=138-81-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=138-81-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:45	cid=62	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:46	cid=63	cas=24317-81-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=24317-81-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:46	cid=64	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:47	cid=65	cas=824-69-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=824-69-1&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:49	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:49	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:49	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:50	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:50	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:54	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:54	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:55	cid=66	cas=583-78-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C583788&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:20:55	cid=66	cas=583-78-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=583-78-8&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:20:55	cid=67	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:20:56	cid=68	cas=141816-32-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=141816-32-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:56	cid=69	cas=7244-95-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=7244-95-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:20:57	cid=70	cas=816-66-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=816-66-0&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:58	cid=71	cas=3184-35-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3184-35-8&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:59	cid=72	cas=99-50-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=99-50-3&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:20:59	cid=73	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:21:00	cid=75	cas=352-92-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=352-92-1&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:21:01	cid=76	cas=67034-83-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=67034-83-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:21:02	cid=77	cas=3237-44-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3237-44-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:21:03	cid=78	cas=3981-36-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3981-36-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:21:04	cid=79	cas=100-54-9	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C100549&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:21:04	cid=79	cas=100-54-9	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C100549&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:21:05	cid=79	cas=100-54-9	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C100549&Index=4&Type=IR	reason=download_http_404	message=
