cid,iupac_name,pubchem_inchikey,rdkit_inchikey,canonical_smiles,isomeric_smiles,formula,pubchem_molecular_weight,rdkit_molecular_weight,exact_mass,charge,heavy_atom_count,isotope_atom_count,covalent_unit_count,elements,xlogp,tpsa,h_bond_donor_count,h_bond_acceptor_count,rotatable_bond_count,source
24,"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one",SQDFRPSZAQYREW-UHFFFAOYSA-N,SQDFRPSZAQYREW-UHFFFAOYSA-N,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,,C9H17N5O8,323.26,323.262,323.10771252,0,22,0,1,C;H;N;O,-4.5,216,9,11,3,PubChem
26,"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione",FNUPJNCDWIHIRQ-UHFFFAOYSA-N,FNUPJNCDWIHIRQ-UHFFFAOYSA-N,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O,,C9H11N5O5,269.21,269.217,269.07601847,0,19,0,1,C;H;N;O,-2.7,158,4,8,2,PubChem
28,"2-aminohexa-2,4-dienedioic acid",ZRHONLCTYUYMIQ-UHFFFAOYSA-N,ZRHONLCTYUYMIQ-UHFFFAOYSA-N,NC(=CC=CC(=O)O)C(=O)O,,C6H7NO4,157.12,157.125,157.03750770,0,11,0,1,C;H;N;O,-0.3,101,3,5,3,PubChem
29,2-amino-3-oxopropanoic acid,XMTCKNXTTXDPJX-UHFFFAOYSA-N,XMTCKNXTTXDPJX-UHFFFAOYSA-N,NC(C=O)C(=O)O,,C3H5NO3,103.08,103.077,103.026943022,0,7,0,1,C;H;N;O,-3.7,80.4,2,4,2,PubChem
30,"2-amino-6-oxohexa-2,4-dienoic acid",QCGTZPZKJPTAEP-UHFFFAOYSA-N,QCGTZPZKJPTAEP-UHFFFAOYSA-N,NC(=CC=CC=O)C(=O)O,,C6H7NO3,141.12,141.126,141.042593085,0,10,0,1,C;H;N;O,-0.3,80.4,2,4,3,PubChem
31,"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate",XMWHRVNVKDKBRG-UHFFFAOYSA-N,XMWHRVNVKDKBRG-UHFFFAOYSA-N,CC(O)(CO)C(O)COP(=O)(O)O,,C5H13O7P,216.13,216.126,216.03988975,0,13,0,1,C;H;O;P,-3.3,127,5,7,5,PubChem
32,"buta-1,3-diene-1,1,4-tricarboxylic acid",SLUDRBHRUDRZJZ-UHFFFAOYSA-N,SLUDRBHRUDRZJZ-UHFFFAOYSA-N,O=C(O)C=CC=C(C(=O)O)C(=O)O,,C7H6O6,186.12,186.119,186.01643791,0,13,0,1,C;H;O,1,112,3,6,4,PubChem
33,2-chloroacetaldehyde,QSKPIOLLBIHNAC-UHFFFAOYSA-N,QSKPIOLLBIHNAC-UHFFFAOYSA-N,O=CCCl,,C2H3ClO,78.50,78.498,77.9872424,0,4,0,1,C;Cl;H;O,0.3,17.1,0,1,1,PubChem
34,2-chloroethanol,SZIFAVKTNFCBPC-UHFFFAOYSA-N,SZIFAVKTNFCBPC-UHFFFAOYSA-N,OCCCl,,C2H5ClO,80.51,80.514,80.0028925,0,4,0,1,C;Cl;H;O,-0.1,20.2,1,1,1,PubChem
35,2-(2-chloro-5-oxofuran-2-yl)acetic acid,WGZZDRVKIXVYEI-UHFFFAOYSA-N,WGZZDRVKIXVYEI-UHFFFAOYSA-N,O=C(O)CC1(Cl)C=CC(=O)O1,,C6H5ClO4,176.55,176.555,175.9876363,0,11,0,1,C;Cl;H;O,0.3,63.6,1,4,2,PubChem
36,2-hydroxy-3-propan-2-ylbutanedioic acid,RNQHMTFBUSSBJQ-UHFFFAOYSA-N,RNQHMTFBUSSBJQ-UHFFFAOYSA-N,CC(C)C(C(=O)O)C(O)C(=O)O,,C7H12O5,176.17,176.168,176.06847348,0,12,0,1,C;H;O,0,94.8,3,5,4,PubChem
37,"4,5,6-trihydroxy-2-oxohexanoic acid",WPAMZTWLKIDIOP-UHFFFAOYSA-N,WPAMZTWLKIDIOP-UHFFFAOYSA-N,O=C(O)C(=O)CC(O)C(O)CO,,C6H10O6,178.14,178.14,178.04773803,0,12,0,1,C;H;O,-2.3,115,4,6,5,PubChem
38,"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid",PKVVTUWHANFMQC-UHFFFAOYSA-N,PKVVTUWHANFMQC-UHFFFAOYSA-N,CC(C)(CO)C(=O)C(=O)O,,C6H10O4,146.14,146.142,146.05790880,0,10,0,1,C;H;O,-0.1,74.6,2,4,3,PubChem
39,"4,4-dimethyloxolane-2,3-dione",HRTOQFBQOFIFEE-UHFFFAOYSA-N,HRTOQFBQOFIFEE-UHFFFAOYSA-N,CC1(C)COC(=O)C1=O,,C6H8O3,128.13,128.127,128.047344113,0,9,0,1,C;H;O,0.6,43.4,0,3,0,PubChem
40,"6-(hydroxymethyl)oxane-2,4,5-triol",PMMURAAUARKVCB-UHFFFAOYSA-N,PMMURAAUARKVCB-UHFFFAOYSA-N,OCC1OC(O)CC(O)C1O,,C6H12O5,164.16,164.157,164.06847348,0,11,0,1,C;H;O,-1.6,90.2,4,5,1,PubChem
41,(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate,YIEMFVNCENFBSD-UHFFFAOYSA-N,YIEMFVNCENFBSD-UHFFFAOYSA-N,CSCCC(=O)C(O)=COP(=O)(O)O,,C6H11O6PS,242.19,242.189,242.00139624,0,14,0,1,C;H;O;P;S,-1,129,3,7,6,PubChem
42,"2-hydroxy-6-oxonona-2,4-dienedioic acid",RFENOVFRMPRRJI-UHFFFAOYSA-N,RFENOVFRMPRRJI-UHFFFAOYSA-N,O=C(O)CCC(=O)C=CC=C(O)C(=O)O,,C9H10O6,214.17,214.173,214.04773803,0,15,0,1,C;H;O,-0.4,112,3,6,6,PubChem
43,2-hydroxypentanedioic acid,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HWXBTNAVRSUOJR-UHFFFAOYSA-N,O=C(O)CCC(O)C(=O)O,,C5H8O5,148.11,148.114,148.03717335,0,10,0,1,C;H;O,-1,94.8,3,5,4,PubChem
44,2-hydroxypropanedioate,ROBFUDYVXSDBQM-UHFFFAOYSA-L,ROBFUDYVXSDBQM-UHFFFAOYSA-L,O=C([O-])C(O)C(=O)[O-],,C3H2O5-2,118.04,118.044,117.99022316,-2,8,0,1,C;H;O,0.2,100,1,5,0,PubChem
45,2-hydroxypropanedioic acid,ROBFUDYVXSDBQM-UHFFFAOYSA-N,ROBFUDYVXSDBQM-UHFFFAOYSA-N,O=C(O)C(O)C(=O)O,,C3H4O5,120.06,120.06,120.00587322,0,8,0,1,C;H;O,-1.1,94.8,3,5,2,PubChem
46,"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid",OVPRPPOVAXRCED-UHFFFAOYSA-N,OVPRPPOVAXRCED-UHFFFAOYSA-N,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O,,C6H11O9P,258.12,258.119,258.01406892,0,16,0,1,C;H;O;P,-3.4,162,5,9,7,PubChem
47,3-methyl-2-oxopentanoic acid,JVQYSWDUAOAHFM-UHFFFAOYSA-N,JVQYSWDUAOAHFM-UHFFFAOYSA-N,CCC(C)C(=O)C(=O)O,,C6H10O3,130.14,130.143,130.062994177,0,9,0,1,C;H;O,1.1,54.4,1,3,3,PubChem
48,"5-amino-2,5-dioxopentanoic acid",COJBGNAUUSNXHX-UHFFFAOYSA-N,COJBGNAUUSNXHX-UHFFFAOYSA-N,NC(=O)CCC(=O)C(=O)O,,C5H7NO4,145.11,145.114,145.03750770,0,10,0,1,C;H;N;O,-1.5,97.5,2,4,4,PubChem
49,3-methyl-2-oxobutanoic acid,QHKABHOOEWYVLI-UHFFFAOYSA-N,QHKABHOOEWYVLI-UHFFFAOYSA-N,CC(C)C(=O)C(=O)O,,C5H8O3,116.11,116.116,116.047344113,0,8,0,1,C;H;O,0.7,54.4,1,3,2,PubChem
50,"3,4,5,6-tetrahydroxy-2-oxohexanoic acid",VBUYCZFBVCCYFD-UHFFFAOYSA-N,VBUYCZFBVCCYFD-UHFFFAOYSA-N,O=C(O)C(=O)C(O)C(O)C(O)CO,,C6H10O7,194.14,194.139,194.04265265,0,13,0,1,C;H;O,-2.9,135,5,7,5,PubChem
51,2-oxopentanedioic acid,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(O)CCC(=O)C(=O)O,,C5H6O5,146.10,146.098,146.02152329,0,10,0,1,C;H;O,-0.9,91.7,2,5,4,PubChem
55,"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol",YNPGYMZVNLIZLD-UHFFFAOYSA-N,YNPGYMZVNLIZLD-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,,C46H70O2,655.0,655.064,654.53758147,0,48,0,1,C;H;O,16.1,40.5,2,2,23,PubChem
56,"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol",MJLXNZUZQMWZTB-UHFFFAOYSA-N,MJLXNZUZQMWZTB-UHFFFAOYSA-N,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,,C46H70O2,655.0,655.064,654.53758147,0,48,0,1,C;H;O,15.8,29.5,1,2,24,PubChem
57,"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol",VUNQJPPPTJIREN-UHFFFAOYSA-N,VUNQJPPPTJIREN-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,,C46H70O,639.0,639.065,638.54266685,0,47,0,1,C;H;O,16.6,20.2,1,1,23,PubChem
58,2-oxobutanoic acid,TYEYBOSBBBHJIV-UHFFFAOYSA-N,TYEYBOSBBBHJIV-UHFFFAOYSA-N,CCC(=O)C(=O)O,,C4H6O3,102.09,102.089,102.031694049,0,7,0,1,C;H;O,0.1,54.4,1,3,2,PubChem
59,3-hydroxy-2-phosphonooxypropanoic acid,GXIURPTVHJPJLF-UHFFFAOYSA-N,GXIURPTVHJPJLF-UHFFFAOYSA-N,O=C(O)C(CO)OP(=O)(O)O,,C3H7O7P,186.06,186.056,185.99293956,0,11,0,1,C;H;O;P,-2.6,124,4,7,4,PubChem
60,"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",HTJXTKBIUVFUAR-UHFFFAOYSA-N,HTJXTKBIUVFUAR-UHFFFAOYSA-N,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,,C14H26N3O17P3,601.29,601.288,601.04750736,0,37,0,1,C;H;N;O;P,-7.7,318,9,17,13,PubChem
61,"2,3-diphosphonooxypropanoic acid",XOHUEYCVLUUEJJ-UHFFFAOYSA-N,XOHUEYCVLUUEJJ-UHFFFAOYSA-N,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,,C3H8O10P2,266.04,266.035,265.95927044,0,15,0,1,C;H;O;P,-3.7,171,5,10,6,PubChem
62,"2,4,5-trichlorocyclohexa-2,5-dien-1-ol",KRQUJBMPSDPYMT-UHFFFAOYSA-N,KRQUJBMPSDPYMT-UHFFFAOYSA-N,OC1C=C(Cl)C(Cl)C=C1Cl,,C6H5Cl3O,199.5,199.464,197.940598,0,10,0,1,C;Cl;H;O,1.9,20.2,1,1,0,PubChem
63,"2,4-diaminopentanoic acid",PCEJMSIIDXUDSN-UHFFFAOYSA-N,PCEJMSIIDXUDSN-UHFFFAOYSA-N,CC(N)CC(N)C(=O)O,,C5H12N2O2,132.16,132.163,132.089877630,0,9,0,1,C;H;N;O,-3.5,89.3,3,4,3,PubChem
64,"2,5-dichlorocyclohexa-2,5-diene-1,4-diol",CPXFTNFOQXXRBF-UHFFFAOYSA-N,CPXFTNFOQXXRBF-UHFFFAOYSA-N,OC1C=C(Cl)C(O)C=C1Cl,,C6H6Cl2O2,181.01,181.018,179.9744848,0,10,0,1,C;Cl;H;O,0.6,40.5,2,2,0,PubChem
65,"2,5-dichlorobenzene-1,4-diol",AYNPIRVEWMUJDE-UHFFFAOYSA-N,AYNPIRVEWMUJDE-UHFFFAOYSA-N,Oc1cc(Cl)c(O)cc1Cl,,C6H4Cl2O2,179.00,179.002,177.9588348,0,10,0,1,C;Cl;H;O,2.7,40.5,2,2,0,PubChem
66,"2,5-dichlorophenol",RANCECPPZPIPNO-UHFFFAOYSA-N,RANCECPPZPIPNO-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Cl,,C6H4Cl2O,163.00,163.003,161.9639201,0,9,0,1,C;Cl;H;O,3.1,20.2,1,1,0,PubChem
67,"3,4,6-trihydroxy-2,5-dioxohexanoic acid",RXMWXENJQAINCC-UHFFFAOYSA-N,RXMWXENJQAINCC-UHFFFAOYSA-N,O=C(O)C(=O)C(O)C(O)C(=O)CO,,C6H8O7,192.12,192.123,192.02700259,0,13,0,1,C;H;O,-2.5,132,4,7,5,PubChem
68,"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol",SFRQRNJMIIUYDI-UHFFFAOYSA-N,SFRQRNJMIIUYDI-UHFFFAOYSA-N,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O,,C5H12O9P2,278.09,278.09,277.99565595,0,16,0,1,C;H;O;P,-2.8,143,4,9,1,PubChem
69,"2-hydroxy-6-oxohepta-2,4-dienoic acid",HVZGWILTESYJSP-UHFFFAOYSA-N,HVZGWILTESYJSP-UHFFFAOYSA-N,CC(=O)C=CC=C(O)C(=O)O,,C7H8O4,156.14,156.137,156.04225873,0,11,0,1,C;H;O,0.2,74.6,2,4,3,PubChem
70,4-methyl-2-oxopentanoic acid,BKAJNAXTPSGJCU-UHFFFAOYSA-N,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(=O)C(=O)O,,C6H10O3,130.14,130.143,130.062994177,0,9,0,1,C;H;O,0.9,54.4,1,3,3,PubChem
71,2-oxohexanedioic acid,FGSBNBBHOZHUBO-UHFFFAOYSA-N,FGSBNBBHOZHUBO-UHFFFAOYSA-N,O=C(O)CCCC(=O)C(=O)O,,C6H8O5,160.12,160.125,160.03717335,0,11,0,1,C;H;O,-0.5,91.7,2,5,5,PubChem
72,"3,4-dihydroxybenzoic acid",YQUVCSBJEUQKSH-UHFFFAOYSA-N,YQUVCSBJEUQKSH-UHFFFAOYSA-N,O=C(O)c1ccc(O)c(O)c1,,C7H6O4,154.12,154.121,154.02660867,0,11,0,1,C;H;O,1.1,77.8,3,4,1,PubChem
73,[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate,WHTCPDAXWFLDIH-UHFFFAOYSA-N,WHTCPDAXWFLDIH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,,C10H15N5O10P2,427.20,427.203,427.02941569,0,27,0,1,C;H;N;O;P,-4.6,233,6,14,6,PubChem
75,3-aminopropanal,PCXDJQZLDDHMGX-UHFFFAOYSA-N,PCXDJQZLDDHMGX-UHFFFAOYSA-N,NCCC=O,,C3H7NO,73.09,73.095,73.052763847,0,5,0,1,C;H;N;O,-1.3,43.1,1,2,2,PubChem
76,"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",FMGSKLZLMKYGDP-UHFFFAOYSA-N,FMGSKLZLMKYGDP-UHFFFAOYSA-N,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,,C19H28O2,288.4,288.431,288.208930132,0,21,0,1,C;H;O,3.2,37.3,1,2,0,PubChem
77,2-hydroxy-2-propan-2-ylbutanedioic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,BITYXLXUCSKTJS-UHFFFAOYSA-N,CC(C)C(O)(CC(=O)O)C(=O)O,,C7H12O5,176.17,176.168,176.06847348,0,12,0,1,C;H;O,-0.2,94.8,3,5,4,PubChem
78,2-amino-3-chloropropanoic acid,ASBJGPTTYPEMLP-UHFFFAOYSA-N,ASBJGPTTYPEMLP-UHFFFAOYSA-N,NC(CCl)C(=O)O,,C3H6ClNO2,123.54,123.539,123.0087061,0,7,0,1,C;Cl;H;N;O,-2.8,63.3,2,3,2,PubChem
79,pyridine-3-carbonitrile,GZPHSAQLYPIAIN-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,N#Cc1cccnc1,,C6H4N2,104.11,104.112,104.037448136,0,8,0,1,C;H;N,0.2,36.7,0,2,0,PubChem
80,"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid",SLWWJZMPHJJOPH-UHFFFAOYSA-N,SLWWJZMPHJJOPH-UHFFFAOYSA-N,O=C(O)C1=CC(=O)C(O)C(O)C1,,C7H8O5,172.13,172.136,172.03717335,0,12,0,1,C;H;O,-1.4,94.8,3,5,1,PubChem
81,"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",PJWIPEXIFFQAQZ-UHFFFAOYSA-N,PJWIPEXIFFQAQZ-UHFFFAOYSA-N,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,,C7H13O10P,288.15,288.145,288.02463360,0,18,0,1,C;H;O;P,-4,182,6,10,8,PubChem
82,5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid,QUTYKIXIUDQOLK-UHFFFAOYSA-N,QUTYKIXIUDQOLK-UHFFFAOYSA-N,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O,,C10H13O10P,324.18,324.178,324.02463360,0,21,0,1,C;H;O;P,-1.8,171,5,10,6,PubChem
85,(3-carboxy-2-hydroxypropyl)-trimethylazanium,PHIQHXFUZVPYII-UHFFFAOYSA-O,PHIQHXFUZVPYII-UHFFFAOYSA-O,C[N+](C)(C)CC(O)CC(=O)O,,C7H16NO3+,162.21,162.209,162.11301837,1,11,0,1,C;H;N;O,-0.8,57.5,2,3,4,PubChem
86,2-amino-3-hydroxybenzoic acid,WJXSWCUQABXPFS-UHFFFAOYSA-N,WJXSWCUQABXPFS-UHFFFAOYSA-N,Nc1c(O)cccc1C(=O)O,,C7H7NO3,153.14,153.137,153.042593085,0,11,0,1,C;H;N;O,0.9,83.6,3,4,1,PubChem
87,3-hydroxy-2-methylpropanoic acid,DBXBTMSZEOQQDU-UHFFFAOYSA-N,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(CO)C(=O)O,,C4H8O3,104.10,104.105,104.047344113,0,7,0,1,C;H;O,-0.4,57.5,2,3,2,PubChem
89,2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,VCKPUUFAIGNJHC-UHFFFAOYSA-N,VCKPUUFAIGNJHC-UHFFFAOYSA-N,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,,C10H12N2O4,224.21,224.216,224.07970687,0,16,0,1,C;H;N;O,-2.5,127,4,6,4,PubChem
91,3-(3-hydroxyphenyl)propanoic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,QVWAEZJXDYOKEH-UHFFFAOYSA-N,O=C(O)CCc1cccc(O)c1,,C9H10O3,166.17,166.176,166.062994177,0,12,0,1,C;H;O,1.4,57.5,2,3,3,PubChem
